end_station_name,zipcode
White St & Johnson Ave,11206
Albany Ave & Fulton St,11216
Madison St & Cypress Ave,11385
Lincoln Ave & E 138 St,10454
20 Ave & Shore Blvd,11105
Powers St & Olive St,11211
Duffield St & Willoughby St,11201
Central Ave & Decatur St,11207
6 St & 7 Ave,11215
Lorimer St & Broadway,11221
Van Buren St & Broadway,11221
Chester Ave & 12 Ave,11218
Willis Ave & E 143 St,10454
McDonald Ave & Vanderbilt St,11223
E 32 St & Park Ave,10016
31 Ave & Crescent St,11369
E 47 St & 2 Ave,10017
Crescent St & 30 Ave,11102
Carlton Ave & Flushing Ave,11238
5 Ave & E 78 St,10075
Riverside Dr & W 138 St,10031
W 40 St & 5 Ave,10018
Fulton Ave & E 168 St,10456
48 Ave & 5 St,11109
Central Park W & W 91 St,10025
Court St & State St,11231
Frederick Douglass Blvd & W 145 St,10039
30 Ave & 47 St,11103
38 St & 30 Ave,11101
